18:19:48 | INFO     | Conexion Binance establecida.
18:19:48 | INFO     | Conectando a Binance...
18:19:49 | INFO     | Conexion Binance establecida.
18:19:49 | INFO     | Conectando a Binance...
18:19:50 | INFO     | Conexion Binance establecida.
18:19:50 | INFO     | Conectando a Binance...
18:19:51 | INFO     | Conexion Binance establecida.
18:19:51 | INFO     | Conectando a Binance...
18:19:52 | INFO     | Conexion Binance establecida.
18:20:02 | INFO     | Conectando a Binance...
18:20:04 | INFO     | Conexion Binance establecida.
18:20:04 | INFO     | Conectando a Binance...
18:20:05 | INFO     | Conexion Binance establecida.
18:20:05 | INFO     | Conectando a Binance...
18:20:06 | INFO     | Conexion Binance establecida.
18:20:06 | INFO     | Conectando a Binance...
18:20:07 | INFO     | Conexion Binance establecida.
18:20:07 | INFO     | Conectando a Binance...
18:20:08 | INFO     | Conexion Binance establecida.
18:20:08 | INFO     | Conectando a Binance...
18:20:09 | INFO     | Conexion Binance establecida.
18:20:19 | INFO     | Conectando a Binance...
18:20:20 | INFO     | Conexion Binance establecida.
18:20:20 | INFO     | Conectando a Binance...
18:20:21 | INFO     | Conexion Binance establecida.
18:20:21 | INFO     | Conectando a Binance...
18:20:22 | INFO     | Conexion Binance establecida.
18:20:22 | INFO     | Conectando a Binance...
18:20:23 | INFO     | Conexion Binance establecida.
18:20:23 | INFO     | Conectando a Binance...
18:20:23 | INFO     | Conexion Binance establecida.
18:20:24 | WARNING  | Key ...8Df81A en cooldown por 65s
18:20:24 | WARNING  | Todas las keys en cooldown. La proxima disponible en 65s
18:20:34 | INFO     | Conectando a Binance...
18:20:34 | INFO     | Conexion Binance establecida.
18:20:35 | INFO     | Conectando a Binance...
18:20:35 | INFO     | Conexion Binance establecida.
18:20:36 | INFO     | Conectando a Binance...
18:20:36 | INFO     | Conexion Binance establecida.
18:20:37 | INFO     | Conectando a Binance...
18:20:37 | INFO     | Conexion Binance establecida.
18:20:38 | INFO     | Conectando a Binance...
18:20:39 | INFO     | Conexion Binance establecida.
18:20:49 | INFO     | Conectando a Binance...
18:20:50 | INFO     | Conexion Binance establecida.
18:20:50 | INFO     | Conectando a Binance...
18:20:51 | INFO     | Conexion Binance establecida.
18:20:51 | INFO     | Conectando a Binance...
18:20:51 | INFO     | Conexion Binance establecida.
18:20:52 | INFO     | Conectando a Binance...
18:20:52 | INFO     | Conexion Binance establecida.
18:20:53 | INFO     | Conectando a Binance...
18:20:53 | INFO     | Conexion Binance establecida.
18:20:54 | INFO     | Conectando a Binance...
18:20:54 | INFO     | Conexion Binance establecida.
18:21:04 | INFO     | Conectando a Binance...
18:21:05 | INFO     | Conexion Binance establecida.
18:21:05 | INFO     | Conectando a Binance...
18:21:06 | INFO     | Conexion Binance establecida.
18:21:07 | INFO     | Conectando a Binance...
18:21:07 | INFO     | Conexion Binance establecida.
18:21:07 | INFO     | Conectando a Binance...
18:21:08 | INFO     | Conexion Binance establecida.
18:21:08 | INFO     | Conectando a Binance...
18:21:09 | INFO     | Conexion Binance establecida.
18:21:19 | INFO     | Conectando a Binance...
18:21:20 | INFO     | Conexion Binance establecida.
18:21:20 | INFO     | Conectando a Binance...
18:21:21 | INFO     | Conexion Binance establecida.
18:21:21 | INFO     | Conectando a Binance...
18:21:22 | INFO     | Conexion Binance establecida.
18:21:22 | INFO     | Conectando a Binance...
18:21:23 | INFO     | Conexion Binance establecida.
18:21:23 | INFO     | Conectando a Binance...
18:21:23 | WARNING  | Todas las keys en cooldown. La proxima disponible en 5s
18:21:24 | INFO     | Conexion Binance establecida.
18:21:34 | INFO     | Conectando a Binance...
18:21:35 | INFO     | Conexion Binance establecida.
18:21:35 | INFO     | Conectando a Binance...
18:21:36 | INFO     | Conexion Binance establecida.
18:21:36 | INFO     | Conectando a Binance...
18:21:37 | INFO     | Conexion Binance establecida.
18:21:37 | INFO     | Conectando a Binance...
18:21:38 | INFO     | Conexion Binance establecida.
18:21:38 | INFO     | Conectando a Binance...
